Approach,Config,#Not Retrieved Bugs (Top Buggy File),#Bugs (Top Buggy File) Improved,#Bugs (Top Buggy File) Deteriorated,#Bugs (Top Buggy File) Unchanged,#Bugs (Top Buggy File) Ranks (Out10 to In10),#Bugs (Top Buggy File) (In10 to Out10),#Bugs (Top Buggy File) Inside 10 Improved,#Bugs (Top Buggy File) Inside 10 Deteriorated,#Bugs (Top Buggy File) Inside 10 Unchanged,#Bugs (Top Buggy File) Outside 10 Improved,#Bugs (Top Buggy File) Outside 10 Deteriorated,#Bugs (Top Buggy File) Outside 10 Unchanged,Bug Ids Improved,Top Baseline Ranks(found),Top Best Config Ranks(found)
SentenceBERT,Filtering+Boosting#Filtering-All_GUI_Component_IDs#Boosting-GUI_State_and_Interacted_GUI_Component_IDs#Query_Expansion-None#Query_Replacement-None#Screen-4.csv,0,42,16,22,11,2,23,12,21,8,2,1,"['8', '129', '135', '206', '256', '1207', '76', '192', '1402', '1223', '45']","[7, 30, 1, 2, 1, 1, 5, 8, 2, 26, 4, 20, 4, 19, 5, 14, 15, 1, 1, 12, 1, 5, 4, 9, 7, 1, 1, 9, 2, 25, 34, 3, 1, 3, 1, 23, 1, 3, 59, 3, 9, 3, 3, 1, 2, 3, 5, 3, 1, 2, 2, 16, 1, 21, 26, 2, 1, 2, 138, 9, 9, 55, 79, 6, 3, 15, 5, 2, 1, 1, 14, 1, 125, 2, 6, 22, 6, 12, 6, 7]","[8, 5, 45, 1, 1, 4, 3, 3, 1, 2, 1, 4, 2, 7, 7, 9, 14, 1, 1, 2, 1, 1, 2, 2, 1, 4, 7, 11, 2, 22, 2, 3, 6, 1, 1, 10, 1, 3, 85, 4, 3, 5, 8, 6, 2, 1, 1, 4, 5, 2, 2, 22, 1, 20, 26, 1, 1, 2, 87, 3, 6, 4, 59, 6, 1, 11, 1, 1, 1, 1, 4, 1, 58, 2, 2, 17, 2, 5, 6, 4]"
SentenceBERT,Filtering+Boosting#Filtering-GUI_State_and_All_GUI_Component_IDs#Boosting-GUI_State_and_Interacted_GUI_Component_IDs#Query_Expansion-None#Query_Replacement-None#Screen-3.csv,0,45,17,18,11,2,26,13,17,8,2,1,"['8', '129', '135', '206', '256', '1207', '76', '192', '1402', '1223', '45']","[7, 30, 1, 2, 1, 1, 5, 8, 2, 26, 4, 20, 4, 19, 5, 14, 15, 1, 1, 12, 1, 5, 4, 9, 7, 1, 1, 9, 2, 25, 34, 3, 1, 3, 1, 23, 1, 3, 59, 3, 9, 3, 3, 1, 2, 3, 5, 3, 1, 2, 2, 16, 1, 21, 26, 2, 1, 2, 138, 9, 9, 55, 79, 6, 3, 15, 5, 2, 1, 1, 14, 1, 125, 2, 6, 22, 6, 12, 6, 7]","[9, 5, 33, 1, 1, 4, 2, 1, 1, 2, 1, 4, 2, 7, 7, 9, 14, 1, 1, 2, 1, 1, 2, 2, 1, 4, 7, 11, 2, 23, 2, 3, 4, 1, 1, 10, 1, 2, 85, 4, 3, 5, 7, 6, 2, 1, 1, 4, 3, 2, 2, 22, 1, 20, 26, 1, 3, 1, 87, 3, 4, 3, 58, 6, 1, 11, 1, 1, 1, 1, 4, 1, 58, 2, 2, 17, 2, 5, 5, 4]"
SentenceBERT,Filtering+Boosting#Filtering-GUI_State_and_All_GUI_Component_IDs#Boosting-GUI_State_and_Interacted_GUI_Component_IDs#Query_Expansion-None#Query_Replacement-None#Screen-4.csv,0,42,16,22,11,2,23,12,21,8,2,1,"['8', '129', '135', '206', '256', '1207', '76', '192', '1402', '1223', '45']","[7, 30, 1, 2, 1, 1, 5, 8, 2, 26, 4, 20, 4, 19, 5, 14, 15, 1, 1, 12, 1, 5, 4, 9, 7, 1, 1, 9, 2, 25, 34, 3, 1, 3, 1, 23, 1, 3, 59, 3, 9, 3, 3, 1, 2, 3, 5, 3, 1, 2, 2, 16, 1, 21, 26, 2, 1, 2, 138, 9, 9, 55, 79, 6, 3, 15, 5, 2, 1, 1, 14, 1, 125, 2, 6, 22, 6, 12, 6, 7]","[9, 5, 45, 1, 1, 4, 3, 3, 1, 2, 1, 4, 2, 7, 7, 9, 14, 1, 1, 2, 1, 1, 2, 2, 1, 3, 7, 11, 2, 23, 2, 3, 6, 1, 1, 10, 1, 3, 85, 4, 3, 5, 8, 6, 2, 1, 1, 4, 5, 2, 2, 22, 1, 20, 26, 1, 1, 2, 87, 3, 6, 4, 59, 6, 1, 11, 1, 1, 1, 1, 4, 1, 58, 2, 2, 17, 2, 5, 6, 4]"
SentenceBERT,Filtering+Boosting#Filtering-All_GUI_Component_IDs#Boosting-GUI_State_and_Interacted_GUI_Component_IDs#Query_Expansion-Interacted_GUI_Component_IDs#Query_Replacement-None#Screen-3.csv,0,44,17,19,12,3,26,11,18,6,3,1,"['8', '129', '135', '206', '256', '1207', '76', '192', '1402', '1641', '1223', '45']","[7, 30, 1, 2, 1, 1, 5, 8, 2, 26, 4, 20, 4, 19, 5, 14, 15, 1, 1, 12, 1, 5, 4, 9, 7, 1, 1, 9, 2, 25, 34, 3, 1, 3, 1, 23, 1, 3, 59, 3, 9, 3, 3, 1, 2, 3, 5, 3, 1, 2, 2, 16, 1, 21, 26, 2, 1, 2, 138, 9, 9, 55, 79, 6, 3, 15, 5, 2, 1, 1, 14, 1, 125, 2, 6, 22, 6, 12, 6, 7]","[7, 5, 33, 1, 1, 4, 2, 1, 1, 2, 1, 3, 2, 7, 40, 9, 14, 1, 1, 2, 1, 1, 2, 2, 1, 4, 7, 12, 2, 26, 2, 3, 4, 1, 1, 9, 1, 2, 87, 4, 3, 4, 6, 6, 2, 1, 1, 4, 3, 2, 2, 24, 1, 20, 26, 1, 3, 1, 85, 3, 4, 3, 57, 6, 1, 10, 1, 1, 1, 1, 2, 1, 57, 2, 2, 20, 2, 5, 5, 4]"
SentenceBERT,Filtering+Boosting#Filtering-GUI_State_and_All_GUI_Component_IDs#Boosting-GUI_State_and_Interacted_GUI_Component_IDs#Query_Expansion-Interacted_GUI_Component_IDs#Query_Replacement-None#Screen-3.csv,0,44,18,18,12,3,26,12,17,6,3,1,"['8', '129', '135', '206', '256', '1207', '76', '192', '1402', '1641', '1223', '45']","[7, 30, 1, 2, 1, 1, 5, 8, 2, 26, 4, 20, 4, 19, 5, 14, 15, 1, 1, 12, 1, 5, 4, 9, 7, 1, 1, 9, 2, 25, 34, 3, 1, 3, 1, 23, 1, 3, 59, 3, 9, 3, 3, 1, 2, 3, 5, 3, 1, 2, 2, 16, 1, 21, 26, 2, 1, 2, 138, 9, 9, 55, 79, 6, 3, 15, 5, 2, 1, 1, 14, 1, 125, 2, 6, 22, 6, 12, 6, 7]","[8, 5, 33, 1, 1, 4, 2, 1, 1, 2, 1, 3, 2, 7, 40, 9, 14, 1, 1, 2, 1, 1, 2, 2, 1, 4, 7, 12, 2, 27, 2, 3, 4, 1, 1, 9, 1, 2, 87, 4, 3, 4, 6, 6, 2, 1, 1, 4, 3, 2, 2, 24, 1, 20, 26, 1, 3, 1, 85, 3, 4, 3, 57, 6, 1, 10, 1, 1, 1, 1, 2, 1, 57, 2, 2, 20, 2, 5, 5, 4]"
SentenceBERT,Filtering+Boosting#Filtering-All_GUI_Component_IDs#Boosting-GUI_State_and_Interacted_GUI_Component_IDs#Query_Expansion-All_GUI_Component_IDs#Query_Replacement-None#Screen-3.csv,0,42,23,15,12,3,26,14,15,4,6,0,"['8', '129', '135', '206', '256', '1207', '76', '192', '1402', '1641', '1223', '45']","[7, 30, 1, 2, 1, 1, 5, 8, 2, 26, 4, 20, 4, 19, 5, 14, 15, 1, 1, 12, 1, 5, 4, 9, 7, 1, 1, 9, 2, 25, 34, 3, 1, 3, 1, 23, 1, 3, 59, 3, 9, 3, 3, 1, 2, 3, 5, 3, 1, 2, 2, 16, 1, 21, 26, 2, 1, 2, 138, 9, 9, 55, 79, 6, 3, 15, 5, 2, 1, 1, 14, 1, 125, 2, 6, 22, 6, 12, 6, 7]","[7, 5, 33, 1, 1, 4, 3, 1, 1, 2, 1, 5, 3, 10, 58, 7, 34, 1, 2, 2, 1, 1, 2, 3, 1, 4, 7, 25, 3, 27, 2, 4, 8, 1, 1, 7, 1, 1, 92, 3, 3, 5, 6, 6, 3, 1, 1, 3, 3, 2, 1, 29, 1, 20, 27, 1, 3, 1, 78, 3, 2, 3, 67, 6, 2, 6, 1, 1, 1, 1, 3, 1, 53, 4, 4, 28, 2, 5, 1, 7]"
SentenceBERT,Filtering+Boosting#Filtering-All_GUI_Component_IDs#Boosting-GUI_State_and_Interacted_GUI_Component_IDs#Query_Expansion-All_GUI_Component_IDs#Query_Replacement-None#Screen-4.csv,0,40,24,16,12,3,24,15,16,4,6,0,"['8', '129', '135', '206', '256', '1207', '76', '192', '1402', '1641', '1223', '45']","[7, 30, 1, 2, 1, 1, 5, 8, 2, 26, 4, 20, 4, 19, 5, 14, 15, 1, 1, 12, 1, 5, 4, 9, 7, 1, 1, 9, 2, 25, 34, 3, 1, 3, 1, 23, 1, 3, 59, 3, 9, 3, 3, 1, 2, 3, 5, 3, 1, 2, 2, 16, 1, 21, 26, 2, 1, 2, 138, 9, 9, 55, 79, 6, 3, 15, 5, 2, 1, 1, 14, 1, 125, 2, 6, 22, 6, 12, 6, 7]","[7, 5, 45, 1, 1, 4, 10, 3, 1, 2, 1, 5, 3, 9, 58, 4, 34, 1, 2, 2, 1, 1, 1, 3, 1, 4, 7, 25, 3, 27, 2, 3, 9, 1, 1, 8, 1, 1, 87, 3, 3, 5, 7, 6, 3, 1, 1, 3, 5, 2, 1, 29, 2, 20, 27, 1, 2, 2, 77, 3, 8, 2, 73, 6, 2, 4, 1, 1, 1, 1, 4, 1, 53, 5, 4, 28, 2, 3, 2, 7]"
SentenceBERT,Filtering+Boosting#Filtering-GUI_State_and_All_GUI_Component_IDs#Boosting-GUI_State_and_Interacted_GUI_Component_IDs#Query_Expansion-All_GUI_Component_IDs#Query_Replacement-None#Screen-3.csv,0,42,24,14,12,3,26,15,14,4,6,0,"['8', '129', '135', '206', '256', '1207', '76', '192', '1402', '1641', '1223', '45']","[7, 30, 1, 2, 1, 1, 5, 8, 2, 26, 4, 20, 4, 19, 5, 14, 15, 1, 1, 12, 1, 5, 4, 9, 7, 1, 1, 9, 2, 25, 34, 3, 1, 3, 1, 23, 1, 3, 59, 3, 9, 3, 3, 1, 2, 3, 5, 3, 1, 2, 2, 16, 1, 21, 26, 2, 1, 2, 138, 9, 9, 55, 79, 6, 3, 15, 5, 2, 1, 1, 14, 1, 125, 2, 6, 22, 6, 12, 6, 7]","[8, 5, 33, 1, 1, 4, 3, 1, 1, 2, 1, 5, 3, 10, 58, 7, 34, 1, 2, 2, 1, 1, 2, 3, 1, 4, 7, 25, 3, 28, 2, 4, 8, 1, 1, 7, 1, 1, 92, 3, 3, 5, 6, 6, 3, 1, 1, 3, 3, 2, 1, 29, 1, 20, 27, 1, 3, 1, 78, 3, 2, 3, 67, 6, 2, 6, 1, 1, 1, 1, 3, 1, 53, 4, 4, 28, 2, 5, 1, 7]"
SentenceBERT,Filtering+Boosting#Filtering-GUI_State_and_All_GUI_Component_IDs#Boosting-GUI_State_and_Interacted_GUI_Component_IDs#Query_Expansion-All_GUI_Component_IDs#Query_Replacement-None#Screen-4.csv,0,40,25,15,12,3,24,16,15,4,6,0,"['8', '129', '135', '206', '256', '1207', '76', '192', '1402', '1641', '1223', '45']","[7, 30, 1, 2, 1, 1, 5, 8, 2, 26, 4, 20, 4, 19, 5, 14, 15, 1, 1, 12, 1, 5, 4, 9, 7, 1, 1, 9, 2, 25, 34, 3, 1, 3, 1, 23, 1, 3, 59, 3, 9, 3, 3, 1, 2, 3, 5, 3, 1, 2, 2, 16, 1, 21, 26, 2, 1, 2, 138, 9, 9, 55, 79, 6, 3, 15, 5, 2, 1, 1, 14, 1, 125, 2, 6, 22, 6, 12, 6, 7]","[8, 5, 45, 1, 1, 4, 10, 3, 1, 2, 1, 5, 3, 9, 58, 4, 34, 1, 2, 2, 1, 1, 1, 3, 1, 3, 7, 25, 3, 28, 2, 3, 9, 1, 1, 8, 1, 1, 87, 3, 3, 5, 7, 6, 3, 1, 1, 3, 5, 2, 1, 29, 2, 20, 27, 1, 2, 2, 77, 3, 8, 2, 73, 6, 2, 4, 1, 1, 1, 1, 4, 1, 53, 5, 4, 28, 2, 3, 2, 7]"
UniXCoder,Filtering#Filtering-All_GUI_Component_IDs#Boosting-NO#Query_Expansion-All_GUI_Component_IDs#Query_Replacement-None#Screen-2.csv,0,38,22,20,8,0,22,14,20,8,8,0,"['10', '129', '206', '256', '162', '1228', '1402', '1096']","[32, 5, 42, 1, 2, 35, 2, 9, 3, 14, 4, 3, 1, 57, 9, 12, 38, 1, 2, 3, 3, 2, 6, 9, 8, 3, 1, 21, 1, 66, 5, 75, 2, 1, 40, 2, 1, 7, 5, 4, 12, 4, 2, 3, 1, 2, 5, 5, 2, 3, 4, 2, 3, 26, 59, 2, 2, 1, 117, 3, 1, 20, 19, 2, 3, 2, 13, 3, 1, 2, 4, 5, 143, 44, 82, 63, 20, 61, 4, 4]","[24, 4, 9, 1, 2, 61, 6, 3, 1, 6, 2, 1, 2, 8, 8, 8, 72, 1, 2, 4, 1, 2, 2, 8, 1, 2, 1, 47, 2, 29, 8, 21, 4, 1, 7, 2, 3, 3, 3, 4, 4, 5, 2, 2, 1, 2, 5, 2, 2, 2, 2, 5, 2, 25, 53, 2, 4, 2, 120, 4, 1, 1, 37, 1, 3, 2, 5, 1, 1, 2, 5, 1, 124, 48, 97, 14, 16, 70, 5, 3]"
UniXCoder,Filtering#Filtering-GUI_State_and_All_GUI_Component_IDs#Boosting-NO#Query_Expansion-All_GUI_Component_IDs#Query_Replacement-None#Screen-2.csv,0,38,22,20,8,0,22,14,20,8,8,0,"['10', '129', '206', '256', '162', '1228', '1402', '1096']","[32, 5, 42, 1, 2, 35, 2, 9, 3, 14, 4, 3, 1, 57, 9, 12, 38, 1, 2, 3, 3, 2, 6, 9, 8, 3, 1, 21, 1, 66, 5, 75, 2, 1, 40, 2, 1, 7, 5, 4, 12, 4, 2, 3, 1, 2, 5, 5, 2, 3, 4, 2, 3, 26, 59, 2, 2, 1, 117, 3, 1, 20, 19, 2, 3, 2, 13, 3, 1, 2, 4, 5, 143, 44, 82, 63, 20, 61, 4, 4]","[25, 4, 9, 1, 2, 61, 6, 3, 1, 6, 2, 1, 2, 8, 8, 8, 72, 1, 2, 4, 1, 2, 2, 8, 1, 2, 1, 47, 2, 29, 8, 21, 4, 1, 7, 2, 3, 3, 3, 4, 4, 5, 2, 2, 1, 2, 5, 2, 2, 2, 2, 5, 2, 25, 53, 2, 4, 2, 120, 4, 1, 1, 37, 1, 3, 2, 5, 1, 1, 2, 5, 1, 124, 48, 97, 14, 16, 70, 5, 3]"
UniXCoder,Boosting#Filtering-NO#Boosting-GUI_States#Query_Expansion-All_GUI_Component_IDs#Query_Replacement-None#Screen-2.csv,0,36,31,13,8,0,22,21,13,6,10,0,"['129', '206', '256', '162', '1228', '1402', '1096', '1406']","[32, 5, 42, 1, 2, 35, 2, 9, 3, 14, 4, 3, 1, 57, 9, 12, 38, 1, 2, 3, 3, 2, 6, 9, 8, 3, 1, 21, 1, 66, 5, 75, 2, 1, 40, 2, 1, 7, 5, 4, 12, 4, 2, 3, 1, 2, 5, 5, 2, 3, 4, 2, 3, 26, 59, 2, 2, 1, 117, 3, 1, 20, 19, 2, 3, 2, 13, 3, 1, 2, 4, 5, 143, 44, 82, 63, 20, 61, 4, 4]","[33, 1, 13, 1, 1, 68, 2, 1, 1, 6, 1, 1, 3, 1, 8, 10, 81, 1, 2, 5, 1, 2, 1, 2, 1, 4, 3, 52, 2, 39, 10, 35, 4, 1, 1, 2, 2, 2, 6, 4, 2, 6, 3, 4, 1, 2, 5, 2, 3, 5, 2, 7, 1, 27, 58, 4, 5, 2, 166, 1, 1, 1, 43, 3, 1, 2, 1, 1, 3, 1, 2, 1, 131, 49, 121, 21, 3, 84, 5, 2]"
UniXCoder,Boosting#Filtering-NO#Boosting-All_GUI_Component_IDs#Query_Expansion-All_GUI_Component_IDs#Query_Replacement-None#Screen-2.csv,0,38,22,20,8,0,22,14,20,8,8,0,"['10', '129', '206', '256', '162', '1228', '1402', '1096']","[32, 5, 42, 1, 2, 35, 2, 9, 3, 14, 4, 3, 1, 57, 9, 12, 38, 1, 2, 3, 3, 2, 6, 9, 8, 3, 1, 21, 1, 66, 5, 75, 2, 1, 40, 2, 1, 7, 5, 4, 12, 4, 2, 3, 1, 2, 5, 5, 2, 3, 4, 2, 3, 26, 59, 2, 2, 1, 117, 3, 1, 20, 19, 2, 3, 2, 13, 3, 1, 2, 4, 5, 143, 44, 82, 63, 20, 61, 4, 4]","[24, 4, 9, 1, 2, 61, 6, 3, 1, 6, 2, 1, 2, 8, 8, 8, 72, 1, 2, 4, 1, 2, 2, 8, 1, 2, 1, 47, 2, 29, 8, 21, 4, 1, 7, 2, 3, 3, 3, 4, 4, 5, 2, 2, 1, 2, 5, 2, 2, 2, 2, 5, 2, 25, 53, 2, 4, 2, 120, 4, 1, 1, 37, 1, 3, 2, 5, 1, 1, 2, 5, 1, 124, 48, 97, 14, 16, 70, 5, 3]"
UniXCoder,Boosting#Filtering-NO#Boosting-GUI_State_and_All_GUI_Component_IDs#Query_Expansion-All_GUI_Component_IDs#Query_Replacement-None#Screen-2.csv,0,38,22,20,8,0,22,14,20,8,8,0,"['10', '129', '206', '256', '162', '1228', '1402', '1096']","[32, 5, 42, 1, 2, 35, 2, 9, 3, 14, 4, 3, 1, 57, 9, 12, 38, 1, 2, 3, 3, 2, 6, 9, 8, 3, 1, 21, 1, 66, 5, 75, 2, 1, 40, 2, 1, 7, 5, 4, 12, 4, 2, 3, 1, 2, 5, 5, 2, 3, 4, 2, 3, 26, 59, 2, 2, 1, 117, 3, 1, 20, 19, 2, 3, 2, 13, 3, 1, 2, 4, 5, 143, 44, 82, 63, 20, 61, 4, 4]","[25, 4, 9, 1, 2, 61, 6, 3, 1, 6, 2, 1, 2, 8, 8, 8, 72, 1, 2, 4, 1, 2, 2, 8, 1, 2, 1, 47, 2, 29, 8, 21, 4, 1, 7, 2, 3, 3, 3, 4, 4, 5, 2, 2, 1, 2, 5, 2, 2, 2, 2, 5, 2, 25, 53, 2, 4, 2, 120, 4, 1, 1, 37, 1, 3, 2, 5, 1, 1, 2, 5, 1, 124, 48, 97, 14, 16, 70, 5, 3]"
UniXCoder,Filtering+Boosting#Filtering-All_GUI_Component_IDs#Boosting-GUI_States#Query_Expansion-All_GUI_Component_IDs#Query_Replacement-None#Screen-2.csv,0,38,28,14,8,0,23,20,13,7,8,1,"['129', '206', '256', '162', '1228', '1402', '1096', '1406']","[32, 5, 42, 1, 2, 35, 2, 9, 3, 14, 4, 3, 1, 57, 9, 12, 38, 1, 2, 3, 3, 2, 6, 9, 8, 3, 1, 21, 1, 66, 5, 75, 2, 1, 40, 2, 1, 7, 5, 4, 12, 4, 2, 3, 1, 2, 5, 5, 2, 3, 4, 2, 3, 26, 59, 2, 2, 1, 117, 3, 1, 20, 19, 2, 3, 2, 13, 3, 1, 2, 4, 5, 143, 44, 82, 63, 20, 61, 4, 4]","[24, 1, 12, 1, 1, 61, 2, 1, 1, 6, 1, 1, 3, 1, 8, 10, 72, 1, 2, 5, 1, 2, 1, 2, 1, 4, 3, 47, 2, 29, 9, 21, 4, 1, 1, 2, 2, 2, 4, 4, 2, 6, 3, 4, 1, 2, 5, 2, 3, 5, 2, 7, 1, 26, 53, 4, 4, 2, 120, 1, 1, 1, 37, 3, 1, 2, 1, 1, 3, 1, 2, 1, 124, 48, 97, 14, 3, 70, 5, 2]"
UniXCoder,Filtering+Boosting#Filtering-All_GUI_Component_IDs#Boosting-GUI_States#Query_Expansion-All_GUI_Component_IDs#Query_Replacement-None#Screen-4.csv,0,41,25,14,8,0,24,19,13,9,6,1,"['129', '206', '256', '162', '1228', '1402', '1096', '1406']","[32, 5, 42, 1, 2, 35, 2, 9, 3, 14, 4, 3, 1, 57, 9, 12, 38, 1, 2, 3, 3, 2, 6, 9, 8, 3, 1, 21, 1, 66, 5, 75, 2, 1, 40, 2, 1, 7, 5, 4, 12, 4, 2, 3, 1, 2, 5, 5, 2, 3, 4, 2, 3, 26, 59, 2, 2, 1, 117, 3, 1, 20, 19, 2, 3, 2, 13, 3, 1, 2, 4, 5, 143, 44, 82, 63, 20, 61, 4, 4]","[24, 1, 12, 1, 1, 61, 4, 1, 1, 6, 1, 1, 3, 1, 8, 1, 79, 1, 2, 5, 1, 2, 1, 2, 1, 4, 3, 43, 2, 29, 10, 24, 4, 1, 1, 2, 2, 2, 4, 4, 3, 4, 3, 4, 1, 2, 1, 5, 5, 1, 2, 8, 1, 26, 50, 4, 4, 2, 120, 1, 1, 2, 39, 3, 2, 2, 1, 1, 4, 1, 2, 1, 123, 39, 76, 13, 3, 72, 5, 3]"
UniXCoder,Filtering+Boosting#Filtering-GUI_State_and_All_GUI_Component_IDs#Boosting-GUI_States#Query_Expansion-All_GUI_Component_IDs#Query_Replacement-None#Screen-2.csv,0,38,28,14,8,0,23,20,13,7,8,1,"['129', '206', '256', '162', '1228', '1402', '1096', '1406']","[32, 5, 42, 1, 2, 35, 2, 9, 3, 14, 4, 3, 1, 57, 9, 12, 38, 1, 2, 3, 3, 2, 6, 9, 8, 3, 1, 21, 1, 66, 5, 75, 2, 1, 40, 2, 1, 7, 5, 4, 12, 4, 2, 3, 1, 2, 5, 5, 2, 3, 4, 2, 3, 26, 59, 2, 2, 1, 117, 3, 1, 20, 19, 2, 3, 2, 13, 3, 1, 2, 4, 5, 143, 44, 82, 63, 20, 61, 4, 4]","[25, 1, 12, 1, 1, 61, 2, 1, 1, 6, 1, 1, 3, 1, 8, 10, 72, 1, 2, 5, 1, 2, 1, 2, 1, 4, 3, 47, 2, 30, 9, 21, 4, 1, 1, 2, 2, 2, 4, 4, 2, 6, 3, 4, 1, 2, 5, 2, 3, 5, 2, 7, 1, 26, 53, 4, 4, 2, 120, 1, 1, 1, 37, 3, 1, 2, 1, 1, 3, 1, 2, 1, 124, 48, 97, 14, 3, 70, 5, 2]"
UniXCoder,Filtering+Boosting#Filtering-GUI_State_and_All_GUI_Component_IDs#Boosting-All_GUI_Component_IDs#Query_Expansion-All_GUI_Component_IDs#Query_Replacement-None#Screen-2.csv,0,38,22,20,8,0,22,14,20,8,8,0,"['10', '129', '206', '256', '162', '1228', '1402', '1096']","[32, 5, 42, 1, 2, 35, 2, 9, 3, 14, 4, 3, 1, 57, 9, 12, 38, 1, 2, 3, 3, 2, 6, 9, 8, 3, 1, 21, 1, 66, 5, 75, 2, 1, 40, 2, 1, 7, 5, 4, 12, 4, 2, 3, 1, 2, 5, 5, 2, 3, 4, 2, 3, 26, 59, 2, 2, 1, 117, 3, 1, 20, 19, 2, 3, 2, 13, 3, 1, 2, 4, 5, 143, 44, 82, 63, 20, 61, 4, 4]","[24, 4, 9, 1, 2, 61, 6, 3, 1, 6, 2, 1, 2, 8, 8, 8, 72, 1, 2, 4, 1, 2, 2, 8, 1, 2, 1, 47, 2, 29, 8, 21, 4, 1, 7, 2, 3, 3, 3, 4, 4, 5, 2, 2, 1, 2, 5, 2, 2, 2, 2, 5, 2, 25, 53, 2, 4, 2, 120, 4, 1, 1, 37, 1, 3, 2, 5, 1, 1, 2, 5, 1, 124, 48, 97, 14, 16, 70, 5, 3]"
UniXCoder,Filtering+Boosting#Filtering-GUI_State_and_All_GUI_Component_IDs#Boosting-GUI_States#Query_Expansion-All_GUI_Component_IDs#Query_Replacement-None#Screen-4.csv,0,42,24,14,8,0,25,18,13,9,6,1,"['129', '206', '256', '162', '1228', '1402', '1096', '1406']","[32, 5, 42, 1, 2, 35, 2, 9, 3, 14, 4, 3, 1, 57, 9, 12, 38, 1, 2, 3, 3, 2, 6, 9, 8, 3, 1, 21, 1, 66, 5, 75, 2, 1, 40, 2, 1, 7, 5, 4, 12, 4, 2, 3, 1, 2, 5, 5, 2, 3, 4, 2, 3, 26, 59, 2, 2, 1, 117, 3, 1, 20, 19, 2, 3, 2, 13, 3, 1, 2, 4, 5, 143, 44, 82, 63, 20, 61, 4, 4]","[25, 1, 12, 1, 1, 61, 4, 1, 1, 6, 1, 1, 3, 1, 8, 1, 79, 1, 2, 5, 1, 2, 1, 2, 1, 2, 3, 43, 2, 30, 10, 24, 4, 1, 1, 2, 2, 2, 4, 4, 3, 4, 3, 4, 1, 2, 1, 5, 5, 1, 2, 8, 1, 26, 50, 4, 4, 2, 120, 1, 1, 2, 39, 3, 2, 2, 1, 1, 4, 1, 2, 1, 123, 39, 76, 13, 3, 72, 5, 3]"
UniXCoder,QueryReformulation#Filtering-NO#Boosting-NO#Query_Expansion-All_GUI_Component_IDs#Query_Replacement-None#Screen-2.csv,0,34,24,22,8,0,20,15,21,6,9,1,"['10', '129', '206', '256', '162', '1228', '1402', '1096']","[32, 5, 42, 1, 2, 35, 2, 9, 3, 14, 4, 3, 1, 57, 9, 12, 38, 1, 2, 3, 3, 2, 6, 9, 8, 3, 1, 21, 1, 66, 5, 75, 2, 1, 40, 2, 1, 7, 5, 4, 12, 4, 2, 3, 1, 2, 5, 5, 2, 3, 4, 2, 3, 26, 59, 2, 2, 1, 117, 3, 1, 20, 19, 2, 3, 2, 13, 3, 1, 2, 4, 5, 143, 44, 82, 63, 20, 61, 4, 4]","[33, 7, 10, 1, 2, 68, 6, 3, 1, 6, 2, 1, 2, 8, 8, 8, 81, 1, 2, 4, 1, 2, 2, 8, 1, 2, 1, 52, 2, 38, 9, 35, 4, 1, 7, 2, 3, 3, 5, 4, 4, 5, 2, 2, 1, 2, 5, 2, 2, 2, 2, 5, 2, 26, 58, 2, 5, 2, 166, 4, 1, 3, 43, 1, 3, 2, 5, 1, 1, 2, 5, 1, 131, 49, 121, 21, 16, 84, 5, 3]"
