Bug Report ID,URL,TraceReplayer Sequence Step
2,https://github.com/zwieback/FamilyFinance/issues/1,41
8,https://github.com/koelleChristian/trickytripper/issues/42,14
10,https://github.com/zhanghai/MaterialFiles/issues/184,15
18,https://github.com/citiususc/calendula/issues/134,21
19,https://github.com/streetcomplete/StreetComplete/issues/1093,5
44,https://github.com/federicoiosue/Omni-Notes/issues/634,21
53,https://github.com/gsantner/markor/issues/1020,18
71,https://github.com/Neamar/KISS/issues/1481,17
117,https://github.com/openfoodfacts/openfoodfacts-androidapp/issues/2087,11
128,https://github.com/andOTP/andOTP/issues/567,28
129,https://github.com/andOTP/andOTP/issues/500,33
130,https://github.com/andOTP/andOTP/issues/486,2
135,https://github.com/commons-app/apps-android-commons/issues/2088,14
191,https://github.com/reloZid/android-anuto/issues/68,1
201,https://github.com/inaturalist/iNaturalistAndroid/issues/302,37
206,https://github.com/codinguser/gnucash-android/issues/615,14
209,https://github.com/codinguser/gnucash-android/issues/689,50
256,https://github.com/codinguser/gnucash-android/issues/654,19
1073,https://github.com/mozilla-mobile/focus-android/issues/2879,8
1096,https://github.com/inaturalist/iNaturalistAndroid/issues/722,14
1146,https://github.com/barbeau/gpstest/issues/434,6
1147,https://github.com/barbeau/gpstest/issues/119,20
1151,https://github.com/barbeau/gpstest/issues/127,5
1202,https://github.com/Swati4star/Images-to-PDF/issues/384,11
1205,https://github.com/Swati4star/Images-to-PDF/issues/602,22
1207,https://github.com/andOTP/andOTP/issues/135,13
1214,https://github.com/andOTP/andOTP/issues/580,13
1215,https://github.com/andOTP/andOTP/issues/569,31
1223,https://github.com/codinguser/gnucash-android/issues/701,19
1224,https://github.com/codinguser/gnucash-android/issues/620,39
1299,https://github.com/PhenoApps/Field-Book/issues/146,20
1399,https://github.com/fossasia/phimpme-android/issues/2416,14
1406,https://github.com/fossasia/phimpme-android/issues/1858,20
1430,https://github.com/brodeurlv/fastnfitness/issues/142,21
1441,https://github.com/cohenadair/anglers-log/issues/151,18
1445,https://github.com/cohenadair/anglers-log/issues/347,14
1481,https://github.com/longdivision/hex/issues/4,16
1645,https://github.com/TheMHMoritz3/Trainer-App/issues/7,35
45,https://github.com/federicoiosue/Omni-Notes/issues/764,11
54,https://github.com/gsantner/markor/issues/331,10
76,https://github.com/trebleshot/android/issues/79,6
92,https://github.com/VREMSoftwareDevelopment/WiFiAnalyzer/issues/222,4
106,https://github.com/AdrienPoupa/VinylMusicPlayer/issues/139,13
110,https://github.com/AdrienPoupa/VinylMusicPlayer/issues/311,5
158,https://github.com/ankidroid/Anki-Android/issues/5127,10
160,https://github.com/ankidroid/Anki-Android/issues/6119,14
162,https://github.com/k9mail/k-9/issues/3255,6
168,https://github.com/cgeo/cgeo/issues/7369,3
192,https://github.com/gsantner/markor/issues/162,12
199,https://github.com/inaturalist/iNaturalistAndroid/issues/219,11
200,https://github.com/inaturalist/iNaturalistAndroid/issues/237,9
248,https://github.com/getodk/collect/issues/2958,45
1150,https://github.com/barbeau/gpstest/issues/315,11
1198,https://github.com/Swati4star/Images-to-PDF/issues/158,20
1228,https://github.com/codinguser/gnucash-android/issues/699,24
1389,https://github.com/y20k/transistor/issues/63,2
1425,https://github.com/brodeurlv/fastnfitness/issues/174,18
1446,https://github.com/cohenadair/anglers-log/issues/43,18
1563,https://github.com/lfuelling/lrkFM/issues/26,7
1568,https://github.com/lfuelling/lrkFM/issues/44,8
1641,https://github.com/TheMHMoritz3/Trainer-App/issues/25,9
11,https://github.com/gauravjot/android-noad-music-player/issues/1,2
55,https://github.com/PhenoApps/Field-Book/issues/131,50
56,https://github.com/PhenoApps/Field-Book/issues/137,19
227,https://github.com/codinguser/gnucash-android/issues/723,25
1213,https://github.com/andOTP/andOTP/issues/638,44
1222,https://github.com/codinguser/gnucash-android/issues/617,17
1428,https://github.com/brodeurlv/fastnfitness/issues/160,12
84,https://github.com/ultrasonic/ultrasonic/issues/187,13
87,https://github.com/ultrasonic/ultrasonic/issues/203,32
159,https://github.com/ankidroid/Anki-Android/issues/6432,34
193,https://github.com/alexstyl/Memento-Calendar/issues/7,5
271,https://github.com/beemdevelopment/Aegis/issues/500,22
275,https://github.com/beemdevelopment/Aegis/issues/415,8
1028,https://github.com/ankidroid/Anki-Android/issues/4502,13
1089,https://github.com/ChessCom/android-chessclock/issues/11,7
1130,https://github.com/AntennaPod/AntennaPod/issues/3084,12
1402,https://github.com/fossasia/phimpme-android/issues/1039,15
1403,https://github.com/fossasia/phimpme-android/issues/1046,24
1640,https://github.com/TheMHMoritz3/Trainer-App/issues/1,4